species_code,ess,region,species_name,avg_iss
10262,ess_f,E,southern rock sole,64.56062776968578
10262,ess_m,E,southern rock sole,22.952041862364347
10262,ess_t,E,southern rock sole,87.30181741113846
10262,ess_f,WC,southern rock sole,82.50948061988034
10261,ess_f,WC,northern rock sole,201.70569708774755
10262,ess_m,WC,southern rock sole,29.01600548052715
10261,ess_m,WC,northern rock sole,124.97305055281426
10262,ess_t,WC,southern rock sole,109.91500596364884
10261,ess_t,WC,northern rock sole,257.8659745692818
10200,ess_f,E,rex sole,288.02636601550364
10200,ess_m,E,rex sole,253.77771172484026
10200,ess_t,E,rex sole,467.45611439343077
10200,ess_f,WC,rex sole,321.47130233205047
10200,ess_m,WC,rex sole,271.41405884464297
10200,ess_t,WC,rex sole,504.5578670717869
